Attendance_Rate,Unexcused_Absence_Count,Unexcused_Absence_Rate,Late_Count,Consecutive_Unexcused_Absences,Days_Since_Last_Attended,Assignment_Missing_Rate,Assignment_Late_Count,Average_Score,Score_Trend,Has_Overdue_Invoice,Days_Overdue,Class_Progress_Ratio,Is_Dropout
0.8216,2,0.1333,1,2,16,0.3004,1,5.15,-0.73,0,0,0.8012,0
0.7453,4,0.1538,1,0,15,0.2806,0,4.0,-0.69,1,25,0.5075,1
0.7931,5,0.1852,0,3,7,0.231,0,5.67,0.24,0,0,0.5242,1
0.8975,1,0.0526,1,1,8,0.2184,0,6.35,-0.25,0,0,0.6364,0
0.8929,2,0.08,0,0,18,0.4863,1,5.46,-0.44,0,0,0.2265,1
0.7722,4,0.1818,0,3,15,0.3812,0,5.96,-1.43,0,0,0.5499,1
0.7349,2,0.1429,0,1,18,0.325,0,6.32,-1.37,1,23,0.7248,1
0.907,1,0.0526,0,1,2,0.066,0,7.85,0.05,0,0,0.541,0
0.7358,1,0.25,0,0,19,0.3185,1,5.56,-0.47,1,16,0.4546,1
0.7512,3,0.1667,0,2,16,0.3811,0,6.75,-1.02,0,0,0.1288,0
0.7326,4,0.1379,2,1,2,0.2471,0,7.88,0.04,0,0,0.2728,0
0.8108,2,0.1176,0,1,15,0.2165,0,8.04,-0.22,0,0,0.2217,0
0.8585,2,0.0909,2,2,14,0.1712,0,6.48,-1.71,0,0,0.3601,1
0.7411,3,0.1875,0,1,12,0.2395,1,4.23,-0.78,1,29,0.7294,1
0.6443,3,0.3333,0,1,15,0.1598,1,6.39,0.02,0,0,0.3428,1
0.9291,1,0.0625,0,0,3,0.1723,1,7.73,0.0,0,0,0.3801,0
0.575,3,0.3,1,1,13,0.1392,1,6.43,-0.91,0,0,0.4092,1
0.9468,1,0.0667,1,0,3,0.0144,0,9.55,-0.3,0,0,0.7086,0
0.9119,1,0.0556,2,0,1,0.0727,0,8.96,-0.65,0,0,0.3981,0
0.9339,1,0.0476,0,1,1,0.0277,0,8.98,-0.8,0,0,0.527,0
0.9163,1,0.0667,0,1,0,0.0393,0,7.91,0.08,0,0,0.8434,0
0.7753,2,0.1429,1,1,1,0.225,0,5.05,-1.03,1,18,0.7527,1
0.74,5,0.1923,0,0,4,0.6508,2,5.68,-1.14,0,0,0.3161,1
0.3677,10,0.4,1,3,2,0.4224,1,2.84,-1.31,0,0,0.5136,1
0.8021,4,0.1333,0,1,2,0.3087,3,5.01,-1.22,1,15,0.692,0
0.6615,6,0.2143,2,2,17,0.5744,1,6.7,-0.82,0,0,0.5981,1
0.9816,0,0.0,1,0,1,0.06,1,6.46,-0.06,1,20,0.4048,1
0.89,2,0.0833,1,1,17,0.1392,1,8.65,-0.47,1,26,0.5672,1
1.0,0,0.0,0,0,2,0.0307,0,7.88,0.73,0,0,0.6392,0
0.7783,0,0.0,0,0,4,0.3011,0,6.52,-1.2,0,0,0.5111,0
0.9361,0,0.0,0,0,1,0.0694,0,7.76,0.09,0,0,0.5377,0
0.7249,3,0.1579,0,2,1,0.4484,1,7.4,-1.4,0,0,0.513,0
0.9609,1,0.05,0,1,2,0.0366,1,8.15,-0.72,0,0,0.4583,0
0.9042,2,0.0741,0,1,0,0.051,1,7.63,0.07,0,0,0.3998,0
0.7683,4,0.1667,0,0,7,0.554,0,7.22,-0.29,1,25,0.05,0
0.5365,3,0.3333,1,3,6,0.2507,1,5.67,-1.0,0,0,0.4967,1
0.9793,0,0.0,0,0,2,0.218,0,7.62,-0.08,0,0,0.7281,0
0.6949,1,0.1667,0,0,8,0.6999,1,4.31,-1.33,1,26,0.3442,1
0.7631,6,0.2,0,2,10,0.315,1,6.5,-0.36,0,0,0.6327,1
0.4543,6,0.2857,1,3,16,0.7563,2,5.75,-1.92,1,35,0.6999,1
0.5732,4,0.3077,3,2,19,0.9374,4,3.61,-1.84,1,19,0.0676,1
1.0,0,0.0,0,0,0,0.0266,0,7.84,0.05,0,0,0.2211,0
0.8763,1,0.0714,0,1,11,0.0894,0,7.35,-0.04,0,0,0.0887,0
0.4402,4,0.5,2,4,7,0.4824,1,2.58,-1.06,1,33,0.4128,1
0.6256,6,0.3,1,2,13,0.2495,0,5.42,-0.56,0,0,0.4554,1
0.7501,2,0.1429,0,2,7,0.2212,1,5.74,-0.41,1,7,0.8594,0
0.322,14,0.5185,1,8,20,0.2811,0,4.35,-1.51,0,0,0.4252,1
0.8766,2,0.087,0,1,18,0.22,1,8.46,0.11,0,0,0.2513,0
0.5776,2,0.4,2,1,16,0.253,0,5.8,-0.97,1,19,0.3155,1
0.8147,2,0.1818,0,0,15,0.3106,2,5.17,-0.69,0,0,0.8425,0
0.855,3,0.15,1,1,2,0.1113,0,7.89,-1.35,0,0,0.5904,0
0.5908,4,0.3333,2,2,6,0.5211,0,5.89,-1.04,0,0,0.4601,1
0.7286,3,0.1875,1,1,16,0.504,1,7.59,-0.52,0,0,0.6389,1
0.9212,1,0.1,0,0,2,0.053,0,7.78,-0.56,0,0,0.307,0
0.8772,1,0.0833,1,1,6,0.6601,2,6.15,-0.98,1,1,0.1987,1
0.9488,0,0.0,0,0,3,0.0294,0,7.01,0.16,0,0,0.1587,0
0.8371,3,0.125,1,3,11,0.418,3,6.38,-0.19,0,0,0.7441,1
0.9823,0,0.0,1,0,3,0.22,1,7.05,-0.24,0,0,0.704,0
0.7447,1,0.2,0,1,20,0.4617,3,4.83,-1.1,0,0,0.8016,1
0.805,1,0.1,3,0,5,0.2018,1,4.24,-1.21,1,5,0.5593,0
0.9364,0,0.0,0,0,0,0.0246,0,8.72,0.46,0,0,0.2372,0
0.9146,2,0.08,2,2,0,0.5715,1,5.26,-0.73,0,0,0.3031,0
0.661,2,0.2857,1,2,19,0.474,2,7.71,-0.76,0,0,0.4213,0
0.8597,2,0.0667,1,2,1,0.5605,1,7.85,-1.4,0,0,0.2594,0
0.3812,8,0.3636,2,5,2,0.6231,3,5.63,-1.42,0,0,0.4436,1
0.8952,0,0.0,1,0,16,0.1723,2,7.02,-1.01,0,0,0.2905,0
0.7575,3,0.1364,2,0,1,0.1338,0,7.27,-1.16,1,30,0.4703,1
0.8925,2,0.087,0,0,11,0.0377,1,9.02,-0.38,0,0,0.3758,0
0.7516,1,0.1667,0,1,20,0.3946,2,7.3,-1.08,0,0,0.4939,0
0.7952,4,0.1739,0,0,3,0.1547,0,6.51,-0.19,0,0,0.689,0
0.9131,1,0.0588,0,0,2,0.0496,0,8.25,0.5,0,0,0.5072,0
0.9145,1,0.0625,0,0,0,0.2184,0,7.34,0.15,0,0,0.815,0
0.6915,6,0.2308,3,2,13,0.6225,3,5.25,-0.94,0,0,0.3533,1
0.5851,5,0.3125,0,4,13,0.7484,2,3.83,-1.7,1,43,0.4726,1
0.9555,0,0.0,0,0,3,0.5708,1,5.17,-0.91,0,0,0.1736,0
0.7784,2,0.1818,1,0,10,0.1981,2,7.3,-0.75,0,0,0.5466,0
0.4005,7,0.5,7,5,5,0.8942,4,4.71,-1.65,0,0,0.5717,1
0.6302,2,0.2222,0,2,6,0.5496,1,4.77,-1.54,0,0,0.6157,1
0.7609,3,0.1579,0,2,8,0.2822,1,8.64,-0.7,0,0,0.6692,1
0.8179,2,0.1,1,2,2,0.2018,0,7.61,-0.37,0,0,0.3766,0
0.6912,5,0.2632,1,3,15,0.3201,1,4.26,-1.18,0,0,0.2706,1
0.9109,1,0.05,0,1,3,0.0498,1,8.96,-0.18,0,0,0.6427,0
0.5513,2,0.2857,1,0,12,0.4711,4,5.55,-1.34,1,43,0.3648,1
0.9593,0,0.0,0,0,3,0.0051,0,7.04,0.95,0,0,0.4239,0
0.8394,4,0.1379,0,2,5,0.3822,1,5.73,-1.13,0,0,0.5644,0
0.692,1,0.125,1,1,9,0.3376,1,5.46,-1.04,1,27,0.6637,0
0.9528,1,0.0435,1,1,1,0.0423,0,7.98,-0.49,0,0,0.4418,0
0.7687,6,0.2222,2,3,16,0.5751,1,5.26,-0.67,0,0,0.634,1
0.9812,0,0.0,0,0,1,0.0334,0,9.61,0.1,0,0,0.3787,0
0.947,0,0.0,0,0,3,0.1121,0,7.79,-1.09,0,0,0.1562,0
0.6955,3,0.1875,1,1,14,0.3038,1,8.12,-0.25,0,0,0.4684,0
0.5505,3,0.2308,2,0,15,0.5598,2,6.55,-1.02,0,0,0.4748,1
0.8831,2,0.0667,0,0,15,0.0398,0,9.21,0.11,0,0,0.7065,0
0.8742,1,0.0769,0,1,3,0.0759,1,8.02,-0.87,0,0,0.4722,0
0.9006,1,0.0714,0,0,1,0.0454,0,9.33,0.5,0,0,0.6523,0
0.7019,1,0.125,1,1,16,0.3182,0,7.23,-0.99,0,0,0.8046,0
0.7983,2,0.1176,1,0,17,0.5368,1,4.58,-1.32,0,0,0.2788,1
0.9159,1,0.0345,1,1,3,0.0593,0,7.54,0.06,0,0,0.3906,0
0.8736,2,0.1,0,2,6,0.121,2,9.45,-1.22,0,0,0.5011,0
0.7481,2,0.1333,1,2,18,0.1885,0,6.26,-0.82,1,11,0.7155,1
0.8249,4,0.1379,0,0,2,0.0859,0,7.04,-0.28,0,0,0.5533,1
1.0,0,0.0,0,0,3,0.028,0,7.74,0.26,0,0,0.4795,0
0.8834,1,0.0588,0,1,7,0.0358,0,9.84,0.08,0,0,0.3621,0
0.734,4,0.2,1,3,5,0.4901,2,5.58,-1.58,1,6,0.425,1
1.0,0,0.0,0,0,2,0.2777,1,6.06,-0.28,0,0,0.8587,1
0.7243,5,0.2174,1,2,1,0.3829,2,7.95,-0.81,0,0,0.6656,1
0.89,2,0.0741,0,0,16,0.1326,1,4.6,0.32,1,37,0.5862,1
0.8939,0,0.0,1,0,17,0.1914,0,6.06,-0.51,1,23,0.3605,0
0.9167,1,0.0625,0,0,2,0.106,0,7.56,-0.85,0,0,0.7236,0
0.6859,5,0.2083,0,1,10,0.62,1,7.39,-0.91,1,9,0.2544,1
0.5178,10,0.4167,1,7,2,0.2869,1,5.39,-1.53,0,0,0.7138,1
0.8794,1,0.0417,0,1,7,0.0391,0,7.17,-0.78,0,0,0.4789,0
0.8217,1,0.1111,3,0,18,0.1608,0,7.78,-0.26,0,0,0.4277,0
0.9911,0,0.0,1,0,2,0.22,0,9.57,-0.81,0,0,0.432,0
0.766,3,0.1429,1,2,2,0.5147,2,4.39,-0.78,0,0,0.471,1
0.937,1,0.0833,0,0,3,0.0894,0,7.46,-0.7,0,0,0.7136,0
0.5711,6,0.3333,3,2,8,0.4973,0,5.3,-1.21,0,0,0.3919,1
0.5927,3,0.2727,0,3,15,0.7709,0,4.8,-1.43,0,0,0.1547,1
0.8174,1,0.1111,2,1,12,0.1546,0,4.86,-1.09,1,34,0.5928,1
0.9375,1,0.037,2,1,3,0.4878,2,4.89,-0.5,0,0,0.4797,1
0.9323,0,0.0,0,0,3,0.3521,0,7.26,-0.44,0,0,0.612,0
0.7728,2,0.25,0,0,9,0.097,0,5.8,0.28,0,0,0.6631,0
0.6581,7,0.2917,1,5,17,0.2681,0,8.34,-1.3,0,0,0.6845,1
0.5679,5,0.2778,0,1,11,0.5801,3,3.25,-1.43,0,0,0.5267,1
0.6438,6,0.2308,0,6,10,0.2822,1,3.57,-0.86,0,0,0.6769,1
0.8247,1,0.0833,1,1,19,0.3336,1,5.57,-0.93,0,0,0.453,0
0.6875,4,0.25,2,0,20,0.3355,1,4.96,-0.36,0,0,0.5738,1
0.705,7,0.2333,0,3,12,0.3139,1,7.38,-0.32,0,0,0.1945,1
0.4701,4,0.2857,3,3,19,0.8835,1,2.51,-2.01,0,0,0.1537,1
0.698,5,0.2174,1,2,5,0.3317,2,4.98,-1.06,0,0,0.281,0
0.4718,6,0.4615,3,2,20,0.4481,0,2.91,-1.65,0,0,0.3949,1
0.8787,0,0.0,1,0,13,0.3987,2,3.14,-1.07,0,0,0.638,0
0.9693,1,0.05,0,1,0,0.166,0,7.69,-0.32,0,0,0.5535,0
0.9875,0,0.0,0,0,0,0.2134,0,7.61,-1.44,0,0,0.2904,1
0.6442,4,0.1818,1,2,2,0.2789,0,7.51,-0.25,1,10,0.4979,1
0.7612,3,0.1765,0,2,19,0.0621,2,6.49,-0.74,0,0,0.3978,0
0.9042,1,0.0833,1,1,1,0.0411,0,7.53,-0.66,0,0,0.5804,0
0.6931,3,0.25,0,1,14,0.599,4,6.09,-0.49,0,0,0.856,1
0.6728,4,0.1905,0,2,4,0.4403,0,5.21,-1.1,0,0,0.1071,0
0.5734,4,0.25,0,3,7,0.503,1,6.1,-1.49,0,0,0.7181,1
0.5535,8,0.3636,2,2,14,0.4649,1,4.29,-0.94,0,0,0.6949,1
0.2394,2,0.5,0,1,19,0.7142,3,1.8,-1.45,0,0,0.2208,1
0.4827,3,0.25,3,1,20,0.4749,3,7.82,-0.89,0,0,0.4328,1
0.5835,5,0.2632,0,1,3,0.6141,2,4.31,-1.61,1,36,0.7883,1
0.762,2,0.2,2,2,8,0.6046,2,4.12,-1.25,0,0,0.6121,1
0.6145,8,0.2759,1,4,2,0.5508,2,4.44,-0.74,1,23,0.6384,1
0.7468,1,0.2,0,0,3,0.2176,0,6.17,-0.15,0,0,0.5721,0
0.9775,0,0.0,1,0,2,0.2926,2,8.25,0.11,0,0,0.2258,0
0.79,2,0.1176,0,0,5,0.2677,1,6.71,-0.42,0,0,0.5634,0
0.5159,4,0.2667,0,1,15,0.4096,0,4.35,-0.94,0,0,0.5408,1
0.8142,1,0.1111,1,1,11,0.0685,1,7.04,-0.53,0,0,0.7685,1
0.5749,6,0.2609,0,2,3,0.6786,3,5.23,-1.89,0,0,0.3001,1
0.8103,2,0.1111,0,1,10,0.5869,0,2.88,-1.53,1,41,0.7551,1
0.763,1,0.1667,0,0,9,0.1684,0,7.65,-0.74,1,6,0.764,1
0.827,4,0.1538,1,1,17,0.1374,0,7.72,-0.07,1,35,0.3897,0
0.6113,2,0.2857,0,1,12,0.4034,0,6.47,-1.18,0,0,0.871,0
0.7704,4,0.1481,0,4,20,0.1198,0,7.63,-0.93,0,0,0.16,0
0.6574,5,0.2778,0,3,2,0.7718,1,6.3,-2.09,0,0,0.5399,1
0.8364,2,0.0909,0,1,17,0.3587,0,6.14,-0.44,0,0,0.8148,0
0.9287,1,0.0345,0,1,2,0.2043,0,8.11,-1.18,0,0,0.4511,0
0.5485,10,0.3448,2,2,19,0.3846,1,4.02,-1.9,0,0,0.3632,1
0.8506,2,0.1333,0,0,17,0.3,2,7.01,0.25,1,18,0.5298,0
0.8719,3,0.1,1,0,2,0.2097,3,8.69,-1.12,0,0,0.4147,0
0.935,0,0.0,0,0,3,0.0456,0,9.53,0.25,0,0,0.8061,0
0.4496,3,0.5,1,2,6,0.7981,1,4.96,-1.43,0,0,0.4107,1
0.7795,2,0.1111,0,0,1,0.1287,1,7.67,-0.36,0,0,0.5553,0
0.8791,1,0.0556,0,1,14,0.1108,0,8.2,-0.35,0,0,0.4457,0
0.6708,2,0.1667,1,2,12,0.3317,0,3.78,-0.71,0,0,0.3507,1
0.708,2,0.1667,0,1,5,0.4393,0,5.11,-0.99,1,29,0.3741,1
0.6645,3,0.15,0,2,1,0.7845,0,5.24,-0.79,0,0,0.3191,1
0.9581,1,0.037,0,1,2,0.1461,1,6.18,-1.53,0,0,0.7681,1
0.6132,7,0.2593,2,5,6,0.74,1,4.68,-1.28,1,13,0.1281,1
0.9375,1,0.0435,0,1,2,0.042,0,8.37,-0.03,0,0,0.5039,0
0.7469,4,0.1429,0,3,1,0.4672,1,6.56,-1.61,0,0,0.8644,1
0.7796,1,0.1667,0,0,14,0.1782,2,5.55,0.43,0,0,0.4983,0
1.0,0,0.0,0,0,3,0.22,1,8.03,-0.71,0,0,0.6025,0
0.9447,0,0.0,0,0,0,0.3378,2,6.09,-1.96,1,12,0.3712,0
0.744,5,0.2,1,5,17,0.1813,1,8.66,-0.79,0,0,0.7154,1
0.9497,0,0.0,0,0,2,0.0583,0,7.5,-0.12,0,0,0.4773,1
0.9377,1,0.0556,0,0,0,0.0541,1,8.81,-0.65,0,0,0.6025,0
0.7565,3,0.2308,1,2,18,0.5114,2,4.08,-0.63,0,0,0.1958,1
1.0,0,0.0,0,0,3,0.4766,1,6.75,-1.19,0,0,0.6008,0
0.4324,5,0.2632,2,1,15,0.6193,3,5.31,-1.45,0,0,0.4502,1
0.9296,1,0.0625,0,1,1,0.0177,0,8.43,-0.56,0,0,0.535,0
0.7711,2,0.1,3,2,12,0.2636,1,6.59,0.2,0,0,0.7073,1
0.8524,2,0.1,0,0,11,0.1795,1,6.78,-0.12,1,19,0.1542,1
0.8587,1,0.0769,1,0,3,0.2452,2,3.82,-1.09,0,0,0.4539,0
0.6836,4,0.2105,0,4,8,0.2286,0,3.83,-0.61,0,0,0.6485,1
0.7476,1,0.1111,1,0,11,0.3962,2,5.96,-0.89,1,36,0.5576,1
0.2265,11,0.3793,0,5,7,0.6786,5,3.21,-2.26,0,0,0.3156,1
0.7529,6,0.2069,0,4,4,0.4086,1,5.86,0.53,0,0,0.2086,0
0.7084,3,0.3,1,1,6,0.4005,2,7.94,-0.6,0,0,0.7103,0
0.8012,2,0.1111,0,0,9,0.3341,1,6.65,-1.24,0,0,0.8091,1
0.8799,1,0.0909,0,0,1,0.3668,0,7.32,-1.98,0,0,0.4678,0
0.8957,0,0.0,0,0,16,0.188,1,7.56,-0.74,0,0,0.3382,0
0.8697,2,0.1111,0,0,10,0.1916,1,7.81,-0.81,0,0,0.7036,0
0.7284,2,0.1429,2,0,5,0.4584,3,4.64,-0.9,0,0,0.4115,0
0.7041,4,0.1429,1,4,18,0.487,3,5.69,-1.35,0,0,0.1419,1
0.7417,1,0.1,0,1,4,0.2126,1,7.09,-0.54,0,0,0.4971,0
0.5705,6,0.24,0,1,11,0.768,3,5.81,-1.31,0,0,0.5537,1
0.7101,5,0.1923,0,5,12,0.541,1,8.76,-1.09,0,0,0.7811,1
0.7299,5,0.1852,0,4,18,0.306,1,5.04,-1.21,0,0,0.402,1
0.9794,0,0.0,0,0,1,0.0438,0,7.8,0.09,0,0,0.7293,0
0.9496,1,0.0667,0,0,1,0.0976,0,7.57,-0.07,0,0,0.3786,0
0.9287,1,0.0385,0,0,0,0.3481,0,7.94,-1.29,0,0,0.6386,0
0.3374,5,0.3846,2,4,15,0.5061,0,4.29,-1.23,1,4,0.6019,1
0.9325,1,0.0333,0,1,0,0.1312,0,7.35,-0.65,0,0,0.3217,0
0.9015,1,0.0625,1,1,1,0.2147,2,8.17,-1.27,0,0,0.2516,0
0.4437,9,0.3333,2,5,20,0.4488,1,5.05,-1.29,0,0,0.5387,1
0.9067,2,0.0667,2,1,0,0.1207,0,8.0,-0.4,0,0,0.7964,0
0.9238,1,0.0435,0,1,3,0.2048,1,7.2,0.22,0,0,0.4979,0
0.7671,2,0.1538,1,2,5,0.4142,3,5.51,-0.4,0,0,0.5153,1
0.9323,0,0.0,0,0,2,0.0951,0,8.9,0.02,0,0,0.4043,0
0.7871,1,0.25,0,0,6,0.4535,2,8.09,-0.0,0,0,0.1512,0
0.7516,5,0.2,1,2,8,0.2115,0,6.95,-0.29,0,0,0.6004,0
0.933,1,0.04,1,1,2,0.7,1,6.93,-1.13,1,17,0.4704,1
0.9646,0,0.0,0,0,2,0.1234,1,7.91,-0.33,0,0,0.829,0
0.5943,4,0.3636,3,1,12,0.3373,3,4.62,-1.37,1,23,0.2875,1
0.8117,3,0.1,0,1,6,0.3698,3,7.45,-1.11,0,0,0.7968,1
0.9061,1,0.0435,0,0,2,0.0361,0,8.56,-0.0,0,0,0.7119,0
0.9635,1,0.0455,0,1,1,0.0831,0,7.46,0.21,0,0,0.301,0
0.7074,5,0.2273,3,5,19,0.4838,2,5.35,-0.7,0,0,0.5168,1
0.2581,8,0.6154,1,6,19,0.7554,0,2.91,-2.4,1,32,0.3789,1
0.5503,7,0.3182,1,2,17,0.5272,1,5.46,-1.73,1,43,0.7084,1
0.7208,1,0.1429,2,0,2,0.4746,3,5.07,-1.4,0,0,0.7208,1
0.731,3,0.1304,0,1,17,0.4012,2,7.15,-0.59,0,0,0.306,0
0.837,2,0.1429,1,1,4,0.1715,0,6.93,-1.63,0,0,0.8864,1
0.7533,2,0.25,0,2,8,0.2877,2,7.37,-0.17,0,0,0.6122,0
0.5389,7,0.3182,0,1,9,0.5238,0,3.55,-0.89,1,14,0.9668,1
0.8028,3,0.12,2,2,1,0.69,3,3.95,-0.63,1,2,0.5453,1
0.7958,1,0.2,1,0,13,0.34,1,6.39,-0.69,0,0,0.5321,0
0.7059,5,0.2273,2,2,2,0.4698,3,6.76,-1.41,0,0,0.3403,0
0.9628,0,0.0,0,0,0,0.0947,0,8.75,0.6,0,0,0.8535,0
0.5179,4,0.3636,3,3,15,0.7737,4,3.68,-1.64,0,0,0.092,1
0.8598,1,0.125,0,0,18,0.2551,0,5.84,-0.99,1,9,0.7839,1
0.8256,3,0.1154,2,1,19,0.3089,3,7.83,-0.84,0,0,0.4927,0
1.0,0,0.0,0,0,3,0.082,0,7.45,-0.03,0,0,0.3633,0
0.4272,3,0.3333,3,2,12,0.4922,3,6.37,-1.45,0,0,0.5148,1
0.7796,2,0.0952,2,0,18,0.3868,2,6.03,-1.21,0,0,0.2285,1
0.6925,6,0.2069,2,4,5,0.0923,1,7.5,-0.74,0,0,0.1112,0
0.5837,3,0.3333,0,1,8,0.7507,4,4.19,-1.96,1,38,0.5686,1
0.6999,2,0.1818,1,1,14,0.4804,1,5.47,-1.01,0,0,0.4514,1
0.6683,2,0.3333,2,1,11,0.2749,2,4.9,-0.42,0,0,0.7913,0
0.8591,2,0.1,0,0,20,0.2537,1,4.76,-0.44,0,0,0.5209,0
0.6478,1,0.25,1,0,1,0.871,1,7.06,-2.54,1,3,0.6416,1
0.7873,1,0.1667,0,1,1,0.1174,0,6.31,-0.5,0,0,0.5342,0
0.8852,1,0.0833,0,1,6,0.052,0,8.59,0.07,0,0,0.4515,0
0.4677,11,0.3929,0,6,12,0.467,3,5.51,-1.34,1,10,0.7033,1
0.9367,1,0.0476,0,0,1,0.3542,1,8.75,0.02,0,0,0.6584,1
0.2992,6,0.3333,2,3,15,0.7514,4,4.34,-2.36,0,0,0.3535,1
0.9681,0,0.0,0,0,2,0.7101,4,4.84,-0.87,0,0,0.3327,1
1.0,0,0.0,0,0,2,0.113,0,8.21,-0.14,0,0,0.4368,0
0.7789,2,0.1176,0,2,1,0.4106,1,6.73,-0.52,1,13,0.4058,1
0.6857,5,0.2632,1,1,10,0.4958,1,4.87,-2.06,1,16,0.765,1
0.2897,10,0.3333,3,6,3,0.844,4,3.77,-3.17,0,0,0.4726,1
0.7526,1,0.1,1,1,15,0.3328,0,6.28,-1.18,0,0,0.2732,0
0.7224,3,0.2,0,1,9,0.1642,1,8.12,-1.07,1,5,0.3702,0
0.8908,2,0.0909,1,1,10,0.3899,2,6.45,0.05,0,0,0.7271,0
0.7724,1,0.1667,2,1,16,0.3092,1,8.25,-1.05,0,0,0.3953,0
0.7225,2,0.2222,0,2,12,0.0696,0,6.93,-0.62,0,0,0.4331,0
0.908,1,0.037,1,0,2,0.2185,2,8.12,0.15,0,0,0.5493,0
1.0,0,0.0,0,0,1,0.0696,0,7.71,-0.05,0,0,0.543,0
0.804,2,0.1538,2,0,1,0.2618,0,5.07,-1.09,0,0,0.587,0
0.6763,5,0.2083,0,5,11,0.3048,0,5.15,-0.45,0,0,0.6124,1
0.796,1,0.0833,0,0,16,0.2362,0,5.49,-0.58,0,0,0.4821,0
0.8132,3,0.1154,0,1,8,0.3206,0,5.36,0.01,0,0,0.6738,0
1.0,0,0.0,0,0,2,0.0039,0,6.81,-0.01,0,0,0.7208,0
0.9524,0,0.0,0,0,3,0.024,0,8.73,-0.01,0,0,0.6659,0
0.8605,2,0.0833,0,1,5,0.5059,1,5.8,-0.94,0,0,0.6116,0
0.9593,1,0.0345,0,0,2,0.6187,2,5.19,-1.2,0,0,0.7237,1
0.8986,1,0.0769,0,0,12,0.22,1,7.33,0.27,0,0,0.8021,0
0.3473,2,0.3333,1,1,18,0.8486,2,3.63,-2.92,0,0,0.7141,1
0.9848,0,0.0,0,0,2,0.0148,0,7.8,-0.12,0,0,0.5185,0
0.946,0,0.0,0,0,1,0.0198,1,8.13,0.23,0,0,0.4294,0
0.9411,1,0.0385,0,0,3,0.0919,0,8.16,-0.36,0,0,0.7762,1
0.6818,4,0.25,1,1,14,0.5089,1,5.95,-1.71,1,21,0.6702,1
0.6297,5,0.2941,2,3,5,0.4448,1,5.2,-1.86,0,0,0.6456,1
0.7208,1,0.25,1,0,1,0.5471,1,5.07,-1.01,0,0,0.5517,1
0.894,1,0.1111,0,1,2,0.0525,0,8.96,-1.77,0,0,0.5413,0
0.7382,3,0.1875,0,1,15,0.4873,1,6.95,-1.04,0,0,0.408,1
0.8737,1,0.0435,0,1,16,0.1992,0,6.35,-0.92,0,0,0.5823,1
0.5428,1,0.2,3,1,2,0.15,0,6.58,-1.11,0,0,0.2493,0
0.8684,2,0.1333,1,2,11,0.1143,1,9.23,-0.44,0,0,0.3905,0
0.9603,1,0.0385,0,0,1,0.0422,0,8.95,-0.25,0,0,0.824,0
0.9339,0,0.0,0,0,0,0.0268,0,8.92,-0.81,0,0,0.5512,0
0.9389,1,0.0417,0,1,2,0.4211,1,6.66,-0.3,1,12,0.6414,0
0.7116,3,0.2,0,1,17,0.0931,0,7.23,-0.23,0,0,0.449,1
0.837,3,0.1034,0,3,4,0.4497,2,7.31,-1.39,0,0,0.2116,0
0.7772,3,0.15,2,1,1,0.0534,0,5.79,-0.55,0,0,0.1739,1
0.7093,6,0.2222,4,1,16,0.1315,1,3.94,-0.39,0,0,0.2709,1
0.7112,4,0.16,0,0,2,0.3571,0,4.75,-0.77,1,32,0.3193,1
0.8616,2,0.0714,0,1,2,0.242,2,6.97,-0.76,0,0,0.405,1
0.8768,3,0.1154,0,2,14,0.1887,2,7.2,-0.8,0,0,0.6732,1
0.4171,10,0.3448,0,5,16,0.2093,1,3.76,-1.91,0,0,0.2809,1
0.7405,3,0.1875,2,1,5,0.2835,0,7.39,-1.36,0,0,0.6931,0
0.8652,1,0.0909,0,0,9,0.2262,0,6.06,-0.4,1,40,0.2867,0
0.8902,2,0.1,0,0,2,0.22,0,6.29,0.18,0,0,0.6124,0
0.6774,2,0.2,1,1,5,0.3087,2,4.75,-0.98,0,0,0.2121,1
0.74,2,0.2,0,2,10,0.2253,0,5.27,-0.91,1,17,0.3101,1
0.8543,1,0.1429,0,1,18,0.3809,0,6.74,-0.4,0,0,0.4604,0
0.7347,5,0.2,0,3,1,0.5101,1,2.4,-1.0,1,24,0.7912,1
0.7649,3,0.1765,1,3,12,0.4818,4,7.0,-0.41,0,0,0.4064,1
0.7058,4,0.2353,1,4,3,0.4877,0,6.38,-1.0,0,0,0.4934,1
0.57,9,0.3103,2,4,9,0.6697,2,4.8,-2.48,1,23,0.4009,1
0.5865,1,0.25,0,0,13,0.4737,2,5.62,-1.05,0,0,0.0823,1
0.9822,0,0.0,0,0,3,0.1817,0,8.82,-1.0,0,0,0.1358,0
0.9175,1,0.0833,1,0,0,0.0,0,8.79,-0.3,0,0,0.4648,0
0.9001,0,0.0,0,0,3,0.1514,0,9.72,-0.45,0,0,0.2709,0
0.8642,2,0.08,0,2,3,0.6367,0,5.56,-1.05,1,40,0.6149,1
1.0,0,0.0,0,0,2,0.0209,0,7.46,0.27,0,0,0.2435,0
0.8432,1,0.0909,0,1,17,0.4802,2,5.07,-0.77,0,0,0.5861,1
0.5945,5,0.1923,1,3,16,0.2552,0,7.29,-0.92,1,30,0.4666,1
0.7265,6,0.2308,0,3,9,0.4621,1,6.41,-1.06,1,20,0.6262,1
0.7775,2,0.1053,0,0,1,0.3455,0,5.75,-0.31,0,0,0.2006,0
