Excused_Absences,Unexcused_Absences,Consecutive_Absences,Missed_Homework_Ratio,Is_Dropout
0,0,0,0.25,0
1,0,0,0.1037,0
1,1,0,0.28,1
2,4,2,0.8798,1
0,2,2,0.6761,1
1,2,1,0.2098,1
1,1,0,0.2526,1
1,0,0,0.1094,0
0,1,1,0.1271,0
0,3,0,0.4848,1
2,0,0,0.05,0
0,4,2,0.768,1
1,1,0,0.8174,1
1,0,0,0.317,0
1,9,2,0.9359,1
2,3,1,0.3078,1
1,0,0,0.0896,0
0,0,0,0.1037,0
2,2,1,0.3743,0
1,1,2,0.5681,0
0,0,0,0.235,0
0,8,7,0.6128,1
0,1,0,0.616,1
0,5,3,0.806,1
1,2,2,0.7317,1
2,0,0,0.3931,0
1,0,0,0.2675,1
0,1,1,0.5777,1
0,0,0,0.0766,0
1,1,0,0.2984,0
0,0,0,0.1574,0
1,1,2,0.6435,1
0,0,0,0.0938,0
2,2,0,0.1646,0
0,7,3,0.8505,1
1,3,2,0.6771,1
1,2,0,0.0685,0
4,0,2,0.2346,0
3,0,0,0.315,0
2,3,5,0.8807,1
1,0,0,0.1063,0
0,0,0,0.1138,0
1,0,0,0.068,0
0,0,0,0.0419,0
2,5,0,0.3711,1
0,0,0,0.2421,0
3,1,1,0.1153,0
1,2,1,0.5364,0
0,0,0,0.0666,0
2,4,2,0.5853,1
1,1,0,0.1318,0
1,2,0,0.4133,1
0,4,0,0.3518,1
2,1,1,0.4025,0
0,0,0,0.0349,0
0,0,0,0.0199,0
1,3,1,0.25,1
0,1,1,0.2538,0
2,1,0,0.4474,0
0,3,3,0.3616,1
3,1,0,0.0905,0
6,1,1,0.3001,0
1,2,1,0.1904,0
1,0,0,0.0562,0
4,0,1,0.4023,0
2,2,1,0.4548,1
2,1,1,0.55,0
1,4,2,0.55,0
0,1,1,0.612,1
3,0,0,0.2753,0
1,0,0,0.0579,0
1,2,1,0.441,0
2,0,0,0.092,0
3,0,0,0.0893,0
0,1,1,0.2265,0
1,0,1,0.1185,0
0,0,0,0.1051,0
0,1,1,0.2033,0
4,0,0,0.1247,0
4,1,1,0.3381,0
6,1,0,0.0654,0
1,0,0,0.1651,0
5,7,2,0.7548,1
1,2,1,0.7408,0
3,3,1,0.5523,1
0,3,0,0.4534,0
0,0,0,0.0954,0
1,6,3,0.9482,1
0,0,0,0.25,0
1,1,0,0.2705,0
5,1,0,0.85,1
2,0,0,0.1492,0
1,0,1,0.1299,0
0,1,1,0.1439,0
0,2,2,0.6688,1
0,0,0,0.13,0
0,5,2,0.8419,1
0,0,0,0.0239,0
2,0,0,0.1149,0
1,0,0,0.2975,0
0,4,3,0.8368,1
1,8,3,0.776,1
0,0,0,0.146,0
1,9,2,0.8119,1
2,1,0,0.1776,0
4,0,1,0.113,0
1,7,3,0.9767,1
0,1,1,0.2874,0
0,0,0,0.0452,0
0,0,0,0.0624,0
1,1,1,0.1772,1
0,1,1,0.1162,0
0,0,0,0.1246,0
1,0,1,0.058,0
4,0,0,0.45,0
1,0,0,0.133,0
2,1,1,0.645,1
3,1,0,0.1567,0
0,6,2,0.8495,1
4,1,0,0.1888,0
2,1,0,0.2558,0
3,1,0,0.2364,0
2,4,1,0.4338,1
1,1,2,0.2702,1
1,4,3,0.8439,1
3,0,0,0.2857,0
0,0,0,0.1618,0
2,0,0,0.4123,0
4,1,1,0.2339,0
1,2,1,0.419,0
2,0,0,0.1732,0
0,1,1,0.5026,0
0,0,0,0.0693,0
0,2,2,0.6579,1
0,1,1,0.4959,0
0,3,2,0.6491,1
2,1,1,0.4393,0
0,0,0,0.55,0
1,1,1,0.1719,0
0,0,0,0.0364,0
1,2,3,0.484,1
3,3,2,0.31,1
1,0,0,0.1843,1
0,5,3,0.8064,1
1,0,0,0.1311,0
0,1,0,0.1851,0
1,0,0,0.1907,0
1,6,5,0.6856,1
0,0,0,0.0349,0
2,0,0,0.0595,0
1,0,0,0.1434,0
0,0,0,0.0952,0
2,2,0,0.3685,0
1,0,0,0.0224,0
4,2,1,0.4931,1
0,0,0,0.0243,0
1,0,0,0.1458,0
2,2,2,0.5379,1
2,7,4,0.9253,1
2,2,1,0.3112,0
0,4,4,0.7923,1
2,2,0,0.4817,1
2,1,1,0.5113,0
0,0,0,0.1996,0
3,3,0,0.3998,0
2,0,2,0.1531,1
1,4,2,0.4578,1
2,6,2,0.8314,1
0,5,2,0.8021,1
1,0,0,0.4964,0
0,4,4,0.7573,1
1,0,0,0.3271,0
1,0,0,0.4405,1
1,2,2,0.7549,1
0,0,0,0.1181,0
0,1,0,0.5089,0
2,0,0,0.1357,0
0,1,0,0.3302,0
2,0,1,0.2087,0
0,4,2,0.3943,1
0,0,0,0.172,0
1,1,0,0.3506,0
3,5,2,0.4507,1
4,0,0,0.0685,0
1,1,2,0.7037,1
1,3,2,0.4115,1
2,5,1,0.6979,1
0,3,3,0.8124,1
0,3,3,0.8053,1
0,0,0,0.0709,0
0,0,0,0.1554,0
2,1,0,0.3989,0
5,0,0,0.45,0
0,0,0,0.0358,0
2,0,0,0.054,0
5,3,3,0.2686,1
1,0,0,0.5016,1
1,0,0,0.0704,0
2,6,1,0.5203,1
2,1,1,0.434,1
0,3,3,0.946,1
1,9,2,0.6619,1
2,2,1,0.6963,0
2,0,0,0.1746,0
4,4,1,0.2642,0
1,0,0,0.0435,0
4,0,0,0.4377,0
1,3,2,0.3791,1
1,0,0,0.0636,0
1,3,1,0.55,0
1,0,1,0.2267,1
0,0,0,0.1723,0
0,0,0,0.2498,0
1,3,4,0.6813,1
1,6,2,0.6645,1
0,0,0,0.1313,0
1,0,0,0.116,0
3,0,0,0.3287,0
0,0,0,0.0325,0
0,0,0,0.188,0
0,3,2,0.7201,1
1,0,0,0.126,0
4,0,0,0.1597,0
0,0,0,0.1089,0
0,0,0,0.1296,0
1,1,0,0.0871,0
0,3,3,0.9266,1
3,1,0,0.2633,0
2,4,3,0.5242,1
2,0,0,0.3487,0
2,0,0,0.45,0
0,3,1,0.3313,0
0,1,1,0.5411,0
1,3,2,0.6899,1
0,0,0,0.1742,0
1,3,1,0.5805,1
5,3,1,0.705,1
0,1,0,0.0565,0
3,0,1,0.3376,1
0,0,0,0.3273,1
1,1,0,0.2982,1
0,4,3,0.6973,1
2,1,2,0.5423,0
4,0,1,0.3406,0
0,4,2,0.9144,1
2,1,0,0.1396,0
4,0,0,0.0546,0
1,0,0,0.1747,0
3,4,3,0.5164,1
3,1,0,0.2266,0
1,2,3,0.8589,1
4,2,0,0.3789,1
4,5,1,0.6852,1
1,2,3,0.9277,1
1,2,1,0.4628,1
1,2,1,0.5039,1
0,1,1,0.3643,1
2,4,6,0.9148,1
0,0,0,0.1056,0
2,1,3,0.6984,1
2,0,0,0.0867,0
0,3,2,0.7417,1
2,0,0,0.1928,0
3,0,0,0.45,0
1,0,0,0.462,1
2,2,2,0.6058,1
0,4,4,0.5832,1
0,0,0,0.1262,0
2,1,0,0.45,0
0,1,0,0.4319,1
1,5,2,0.9514,1
2,1,1,0.45,0
3,1,0,0.2737,0
1,0,0,0.3932,0
2,9,7,0.9402,1
1,0,1,0.2894,0
0,0,0,0.1434,0
2,0,0,0.1212,0
1,1,0,0.2772,1
3,2,1,0.5898,1
3,3,6,0.8227,1
4,0,2,0.3237,0
1,0,0,0.3672,0
2,1,1,0.2388,0
2,0,0,0.309,0
3,2,0,0.3909,0
1,0,1,0.3108,0
0,0,0,0.25,0
0,0,0,0.3991,0
0,1,1,0.5574,0
0,1,0,0.3843,0
2,0,0,0.0533,0
1,2,0,0.45,1
1,3,1,0.7488,1
0,0,0,0.141,0
4,0,0,0.45,0
3,0,0,0.4001,0
0,1,0,0.415,0
1,0,0,0.2792,0
0,0,0,0.1447,0
2,0,0,0.2405,0
1,4,3,0.5152,1
2,4,3,0.6788,1
1,1,0,0.0445,0
2,1,3,0.4964,1
2,4,3,0.9304,1
4,1,0,0.3567,1
0,4,2,0.8842,1
2,0,0,0.05,0
3,3,3,0.6226,1
5,0,0,0.3136,1
0,0,0,0.1093,0
1,0,0,0.362,0
4,1,1,0.5327,0
1,1,0,0.1311,0
2,3,1,0.6214,1
1,8,3,0.9359,1
0,9,4,0.7981,1
2,1,0,0.1345,1
0,3,2,0.726,1
3,0,1,0.055,0
1,0,0,0.0611,0
1,0,1,0.2125,0
5,0,2,0.2147,1
2,1,1,0.5346,0
2,1,2,0.85,1
2,0,0,0.1572,1
5,2,3,0.4478,1
0,0,0,0.1639,0
2,0,0,0.0705,0
1,0,0,0.111,1
4,3,1,0.2331,0
2,6,2,0.4293,1
1,2,0,0.1635,1
0,0,0,0.0817,0
0,2,1,0.4798,1
1,2,0,0.3168,0
0,0,0,0.2292,0
1,6,2,0.836,1
3,1,0,0.6404,1
0,3,2,0.7432,1
0,1,0,0.369,0
0,0,0,0.0506,0
3,4,3,0.3775,1
3,3,1,0.4482,0
0,2,2,0.8285,1
1,0,0,0.2382,0
0,0,0,0.0251,0
1,0,0,0.1906,1
1,2,1,0.3626,1
3,3,0,0.6158,1
1,1,0,0.3811,0
2,3,3,0.4087,1
3,2,0,0.1899,0
0,0,0,0.1729,0
2,1,0,0.196,0
3,4,1,0.2331,1
2,3,0,0.1459,0
1,1,0,0.0676,0
1,1,0,0.7055,1
3,0,0,0.0762,0
0,2,0,0.3716,1
1,4,1,0.6363,1
1,1,2,0.4942,1
4,6,1,0.3732,1
1,1,0,0.0762,1
2,1,0,0.0547,1
2,0,0,0.1087,1
1,5,2,0.5719,1
2,9,3,0.8402,1
2,2,1,0.0662,0
0,3,1,0.4566,1
1,0,0,0.2376,0
2,0,0,0.3143,1
1,0,0,0.2139,0
1,1,0,0.309,0
3,2,1,0.0741,0
0,0,0,0.25,0
3,0,0,0.45,0
1,2,3,0.7341,1
3,0,0,0.1854,0
1,0,0,0.488,1
0,3,1,0.55,0
2,1,0,0.3967,1
0,1,0,0.2181,1
0,1,0,0.041,0
3,2,2,0.5517,1
0,0,0,0.1018,0
1,1,1,0.4415,1
1,0,1,0.1644,0
0,0,0,0.1382,0
2,4,5,0.6415,1
2,0,0,0.226,0
1,0,0,0.0606,0
0,7,2,0.7602,1
0,1,1,0.2893,0
1,1,1,0.2965,1
2,0,0,0.55,0
0,1,0,0.026,0
0,0,0,0.0548,0
0,2,0,0.4589,0
2,2,0,0.3084,0
1,1,1,0.2638,0
4,0,0,0.0957,0
0,0,0,0.0986,0
2,0,2,0.1884,1
1,0,1,0.1061,1
1,7,2,0.8288,1
0,0,0,0.07,0
3,0,0,0.2025,0
3,2,1,0.3966,0
0,3,3,0.8343,1
3,0,0,0.3002,0
5,3,1,0.6139,1
1,3,0,0.4504,1
1,3,2,0.7298,1
1,0,1,0.1747,0
0,0,0,0.1135,0
2,0,0,0.0327,0
0,0,0,0.0902,0
4,0,0,0.1388,0
1,1,0,0.55,0
1,2,3,0.8993,1
2,3,1,0.7828,1
2,0,0,0.4776,0
0,5,4,0.8686,1
2,3,2,0.2523,1
1,2,1,0.1713,1
0,2,1,0.5023,1
2,1,2,0.5814,1
1,1,0,0.4934,0
3,1,0,0.1488,0
1,4,5,0.7358,1
2,1,2,0.2856,1
1,2,3,0.8439,1
1,0,0,0.2175,0
3,1,3,0.3894,1
1,2,0,0.4893,0
4,1,0,0.3043,0
0,3,3,0.3533,1
3,3,0,0.153,0
2,1,1,0.1581,1
1,3,2,0.41,1
3,3,0,0.5004,0
0,2,1,0.5823,1
2,1,1,0.1662,0
1,3,2,0.6899,1
2,0,0,0.2237,0
3,1,0,0.0848,0
1,5,5,0.8503,1
1,1,1,0.1333,0
0,1,0,0.195,0
0,0,0,0.25,0
4,0,0,0.4103,0
7,0,0,0.45,0
0,0,0,0.0013,0
0,0,0,0.1174,0
1,0,0,0.0395,0
0,0,0,0.1433,0
4,1,1,0.443,1
5,0,0,0.3289,0
1,1,0,0.1583,0
0,0,0,0.1455,0
1,0,0,0.1387,0
0,5,2,0.8201,1
0,0,0,0.0746,0
0,3,1,0.7496,1
1,2,3,0.7764,1
3,0,0,0.366,1
2,0,1,0.0365,0
1,0,0,0.0823,0
0,3,0,0.3926,1
1,3,1,0.3452,1
0,0,0,0.1132,0
1,0,1,0.1781,0
2,3,5,0.7864,1
1,0,0,0.0793,0
0,5,2,0.7553,1
1,0,0,0.1522,0
1,3,3,0.7363,1
3,5,3,0.8572,1
1,5,1,0.6968,1
1,3,1,0.4351,1
0,6,4,0.8136,1
2,3,5,0.8738,1
3,8,5,0.6093,1
1,3,2,0.5585,1
0,0,0,0.25,0
0,0,0,0.2367,0
0,0,0,0.0299,0
1,0,0,0.1846,0
2,0,1,0.0559,0
1,0,0,0.057,0
0,1,1,0.1665,0
2,0,0,0.4009,0
1,0,1,0.1025,0
2,3,2,0.3134,0
3,6,5,0.8493,1
0,0,0,0.0525,0
3,1,0,0.3648,0
3,0,1,0.2665,0
1,0,0,0.2817,1
1,2,3,0.7479,1
1,1,0,0.0673,0
0,0,0,0.1818,0
0,2,1,0.2317,0
2,2,3,0.708,1
2,0,1,0.3542,0
2,1,3,0.619,1
1,0,0,0.0509,0
0,4,3,0.6717,1
1,1,0,0.0005,0
1,0,0,0.1586,1
3,0,0,0.55,0
2,0,0,0.1139,0
2,1,1,0.401,0
2,1,0,0.4622,0
1,0,0,0.05,0
0,0,0,0.0733,0
1,1,0,0.2153,0
1,1,2,0.2225,0
1,1,0,0.0801,0
1,1,1,0.2288,0
2,1,1,0.7205,1
0,3,3,0.796,1
1,0,0,0.065,0
4,4,0,0.3106,0
0,1,0,0.3579,0
0,0,0,0.0518,0
3,1,0,0.45,0
3,0,1,0.1911,0
1,0,0,0.083,0
4,1,1,0.2715,0
1,2,1,0.5571,0
0,0,0,0.0256,0
2,1,1,0.2444,0
1,1,0,0.1826,0
1,0,1,0.3893,0
1,4,0,0.2202,0
2,1,2,0.1133,0
3,3,3,0.4765,1
0,0,0,0.0795,0
0,5,3,0.9837,1
0,0,0,0.2162,0
0,1,0,0.1736,0
1,0,0,0.1375,0
2,5,1,0.5013,1
2,0,0,0.1624,0
2,1,1,0.2016,0
0,4,3,0.8829,1
1,0,0,0.0951,0
3,0,0,0.3369,0
1,3,3,0.799,1
1,4,0,0.2593,0
4,1,0,0.7011,1
0,1,0,0.371,1
0,2,2,0.6973,1
0,0,0,0.1711,0
2,7,2,0.8469,1
1,0,0,0.0982,0
0,0,0,0.0423,0
3,0,2,0.2219,0
4,0,0,0.287,0
2,3,0,0.55,1
1,4,3,0.5637,1
1,5,1,0.3553,1
1,0,1,0.2436,0
3,0,0,0.1776,1
2,0,0,0.1764,0
0,0,0,0.0243,0
1,0,0,0.111,0
1,0,1,0.2307,0
5,1,2,0.2788,0
2,1,3,0.7771,1
3,5,3,0.712,1
1,2,2,0.1459,1
0,1,1,0.5603,1
1,2,0,0.3015,0
1,5,3,0.4029,1
2,0,0,0.1338,0
3,0,0,0.45,0
0,1,0,0.1375,0
2,0,0,0.0736,0
1,5,3,0.4043,1
4,0,2,0.3507,1
0,0,0,0.0452,0
2,0,0,0.2562,0
4,3,1,0.8412,1
2,0,0,0.028,0
0,0,0,0.0279,0
3,0,1,0.3264,0
3,1,2,0.292,0
0,4,4,0.8225,1
1,2,3,0.4801,1
2,4,2,0.85,1
2,1,2,0.3137,1
1,2,1,0.6571,0
0,1,0,0.2706,0
1,3,0,0.5572,1
3,1,1,0.5576,0
0,3,2,0.6098,1
0,1,0,0.3133,0
0,0,0,0.0654,0
2,1,1,0.45,0
1,0,0,0.1009,0
1,2,2,0.4013,0
0,5,4,0.7739,1
2,3,3,0.5776,1
0,4,4,0.9601,1
0,0,0,0.0214,0
3,5,4,0.4445,1
2,2,1,0.2288,0
1,3,3,0.7542,1
1,0,0,0.3805,0
1,4,2,0.8973,1
2,2,0,0.2746,1
5,0,0,0.129,0
2,1,2,0.4882,1
0,5,2,0.7903,1
3,1,1,0.4701,0
2,1,3,0.3827,1
1,2,0,0.4926,0
2,0,0,0.0496,0
1,0,0,0.2118,0
1,1,1,0.1978,0
1,5,1,0.393,1
2,2,1,0.55,0
0,1,0,0.25,0
2,1,0,0.2103,0
2,1,2,0.6429,1
2,0,0,0.2547,1
4,0,0,0.2891,0
1,2,2,0.9472,1
4,2,0,0.2142,0
1,1,1,0.2952,0
0,1,1,0.3082,0
0,4,2,0.7078,1
0,1,1,0.6161,1
1,0,0,0.2082,0
1,3,3,0.25,1
1,1,0,0.5502,0
2,3,0,0.2127,1
2,2,1,0.2442,0
2,1,0,0.182,0
5,0,0,0.2825,1
3,2,1,0.2155,1
2,4,1,0.3431,1
5,3,0,0.5833,1
2,3,2,0.9905,1
1,0,1,0.2967,0
1,8,3,0.8358,1
2,2,0,0.5957,1
1,0,0,0.2229,0
1,1,0,0.233,0
0,2,2,0.9561,1
2,1,1,0.094,0
1,1,0,0.2525,1
0,3,0,0.3194,0
2,1,0,0.3139,0
0,0,0,0.0944,0
2,1,3,0.4995,1
3,4,1,0.5492,1
1,1,0,0.3846,0
0,0,0,0.0398,0
3,0,0,0.1287,0
1,5,3,0.7268,1
3,2,1,0.1855,1
1,0,0,0.0117,0
1,2,2,0.7287,1
2,0,0,0.4626,0
0,0,0,0.1922,0
0,0,0,0.1202,0
3,7,0,0.7217,1
1,2,0,0.3188,1
1,1,1,0.05,0
0,3,1,0.4881,1
3,1,0,0.0669,0
0,0,0,0.1171,0
0,0,0,0.3025,1
3,4,6,0.7401,1
3,1,0,0.1918,1
0,0,0,0.166,0
0,0,0,0.352,0
4,4,0,0.619,1
1,2,1,0.6136,1
1,2,0,0.214,0
1,2,3,0.85,1
1,1,1,0.2698,0
2,0,0,0.0935,0
5,0,1,0.2761,0
0,0,0,0.1011,0
1,0,0,0.1935,0
0,3,2,0.6113,1
3,5,2,0.9598,1
1,0,0,0.1111,0
3,0,0,0.2659,0
3,1,1,0.05,0
0,3,3,0.7487,1
3,1,0,0.1735,0
1,1,0,0.4999,0
1,0,0,0.0731,0
0,0,0,0.0654,0
1,0,0,0.049,0
0,1,1,0.8165,1
2,0,0,0.3576,0
3,0,0,0.1485,1
3,0,0,0.094,0
1,0,0,0.2811,0
1,5,4,0.8944,1
1,2,0,0.1585,0
0,0,0,0.0848,0
0,0,0,0.1855,0
5,0,0,0.0653,0
5,1,1,0.3155,1
1,0,0,0.0881,0
2,3,0,0.4836,1
3,4,0,0.4795,1
1,3,3,0.5,1
0,7,2,0.8018,1
3,2,1,0.0823,1
3,0,0,0.2658,1
0,4,4,0.9067,1
3,0,0,0.3329,1
1,0,0,0.1548,0
0,1,1,0.5603,1
0,0,0,0.4128,0
2,4,1,0.421,1
0,3,3,0.7245,1
1,2,1,0.3365,1
3,3,2,0.481,1
3,3,1,0.609,1
3,0,0,0.197,0
2,1,3,0.5881,1
2,0,0,0.1506,1
0,6,2,0.9007,1
1,0,0,0.3304,0
1,1,2,0.1663,0
2,1,0,0.2183,0
3,5,0,0.2829,1
1,1,0,0.5438,0
0,0,0,0.0513,0
2,0,0,0.0801,0
1,4,3,0.906,1
0,3,0,0.1732,0
2,2,0,0.5429,1
2,1,0,0.0666,0
3,2,0,0.4253,1
5,1,1,0.1497,1
0,2,2,0.6296,1
3,0,0,0.2314,0
0,0,0,0.0593,0
1,2,3,0.8538,1
2,0,1,0.1421,0
0,0,0,0.1668,0
1,0,0,0.0702,0
1,0,0,0.0721,0
2,0,0,0.2533,0
4,0,0,0.123,0
2,0,0,0.4499,0
0,0,0,0.064,0
1,0,0,0.0852,0
0,0,0,0.0422,0
1,0,0,0.2631,0
0,0,0,0.25,0
1,0,0,0.0481,0
0,2,0,0.3343,0
2,0,0,0.147,0
3,0,0,0.2491,0
1,4,3,0.5539,1
2,2,1,0.3042,1
0,9,4,0.7514,1
4,3,0,0.2842,1
0,3,1,0.266,0
1,0,1,0.0828,0
2,0,0,0.2444,0
1,3,0,0.3949,0
3,1,1,0.4488,0
3,1,0,0.2478,0
0,0,0,0.0486,0
1,4,3,0.8291,1
3,2,3,0.3179,1
1,3,1,0.535,1
1,1,1,0.7859,1
0,0,0,0.0647,0
4,3,2,0.3545,0
0,0,0,0.045,0
1,3,2,0.3406,0
2,4,1,0.4869,1
1,3,4,0.9255,1
1,0,0,0.066,0
3,4,2,0.6316,1
1,5,1,0.4957,1
1,1,0,0.1183,0
3,0,0,0.2574,0
4,3,0,0.5265,0
2,2,2,0.1895,1
1,5,6,0.6549,1
0,1,0,0.0634,0
0,2,0,0.55,0
1,5,2,0.9364,1
2,3,2,0.1624,1
1,0,0,0.05,0
3,1,1,0.3765,0
2,0,0,0.0599,1
1,0,0,0.0553,0
2,6,2,0.463,1
2,2,1,0.2271,0
2,0,1,0.4411,0
0,3,0,0.4994,1
5,2,1,0.5295,0
0,2,1,0.1555,0
2,0,2,0.1491,0
0,0,0,0.0253,0
0,3,3,0.9564,1
1,0,0,0.3308,0
0,0,0,0.1256,0
1,2,3,0.875,1
1,0,0,0.35,0
4,0,0,0.45,0
0,3,2,0.104,0
0,0,0,0.1003,0
1,0,0,0.2447,0
0,0,0,0.0788,0
3,2,0,0.3557,0
2,0,0,0.2935,0
0,3,1,0.3401,1
0,0,0,0.1429,0
3,5,2,0.9135,1
0,1,0,0.1611,1
0,0,0,0.3215,0
1,0,0,0.2826,0
2,1,0,0.3332,0
1,0,0,0.0537,0
1,1,0,0.28,0
3,0,0,0.2468,0
2,1,0,0.2424,0
2,1,0,0.55,0
2,1,1,0.6913,1
0,0,0,0.0798,0
1,0,0,0.1953,0
4,0,0,0.3085,0
2,8,7,0.7968,1
0,0,0,0.3979,0
0,0,0,0.25,0
0,0,0,0.0843,0
2,1,2,0.383,0
2,1,2,0.2059,1
3,0,0,0.3126,0
1,5,2,0.6676,1
0,0,0,0.0672,0
1,0,0,0.2558,0
1,0,0,0.0943,0
1,5,1,0.5696,1
0,2,2,0.685,1
6,0,0,0.1524,0
4,0,2,0.322,0
3,0,0,0.0595,0
3,1,0,0.2599,1
1,2,1,0.4799,1
2,0,0,0.2157,0
1,0,0,0.0847,0
4,0,0,0.1485,0
3,1,1,0.4277,0
2,1,0,0.246,0
1,4,2,0.6815,1
5,3,1,0.2571,1
1,0,0,0.0889,0
1,2,3,0.9584,1
1,0,1,0.2078,0
1,2,0,0.05,0
1,7,2,0.7495,1
3,0,0,0.45,0
3,0,0,0.2431,0
0,4,4,0.5877,1
0,4,2,0.8414,1
5,1,1,0.3954,0
1,2,0,0.2623,1
4,0,1,0.2321,0
2,6,4,0.8926,1
1,1,0,0.1429,0
0,6,3,0.8609,1
2,3,2,0.0881,1
0,0,0,0.0434,0
3,2,4,0.6515,1
1,6,2,0.9775,1
0,3,2,0.6688,1
3,4,0,0.2207,0
0,0,0,0.0507,0
1,0,0,0.4976,0
1,2,1,0.25,0
4,6,2,0.514,1
1,5,2,0.85,1
0,0,0,0.1214,0
2,3,4,0.4551,1
2,3,2,0.05,0
4,0,0,0.45,0
5,1,0,0.3727,0
3,4,2,0.6702,1
1,0,0,0.0266,0
2,2,0,0.3795,0
0,5,3,0.9463,1
2,3,2,0.4648,1
1,0,0,0.3541,1
2,0,0,0.3074,0
1,2,0,0.2343,0
2,2,1,0.1503,0
2,1,2,0.4487,0
3,0,0,0.1655,0
0,0,0,0.0874,0
1,0,0,0.2049,0
2,1,0,0.3512,0
2,3,1,0.334,0
3,1,0,0.2272,0
2,0,1,0.2248,0
2,0,1,0.1358,0
2,5,4,0.7751,1
1,8,2,0.7937,1
2,1,1,0.1998,0
2,5,3,0.6324,1
1,4,2,0.3719,1
1,2,3,0.3805,1
4,0,0,0.1729,0
2,4,0,0.3302,1
3,3,2,0.2014,1
4,0,1,0.3036,0
3,1,1,0.0696,0
1,4,0,0.3633,0
1,2,3,0.4657,1
1,4,5,0.9477,1
1,0,0,0.404,0
2,4,2,0.7945,1
4,1,0,0.34,0
2,0,1,0.3488,0
1,0,1,0.0941,0
2,2,1,0.3281,0
2,2,1,0.8187,1
1,4,1,0.5044,1
2,5,2,0.4668,1
0,0,0,0.0353,0
2,3,0,0.374,0
0,2,1,0.5156,1
2,1,1,0.1422,0
2,7,3,0.5746,1
1,0,0,0.3902,1
2,1,0,0.1478,1
0,0,0,0.0149,0
2,0,0,0.1929,0
4,0,0,0.243,0
3,1,0,0.198,0
2,0,0,0.1486,1
3,9,3,0.6729,1
1,3,3,0.5242,1
2,7,2,0.8606,1
1,2,1,0.1146,0
4,0,0,0.0866,1
0,2,2,0.4633,1
1,1,1,0.1685,0
1,0,0,0.1581,0
2,0,0,0.0413,0
4,5,0,0.7106,1
0,0,0,0.1165,0
0,3,3,0.9117,1
0,1,0,0.0487,0
1,5,1,0.3333,1
1,0,0,0.1486,0
4,0,0,0.0697,0
1,2,2,0.7583,1
0,0,0,0.25,0
2,3,2,0.7739,1
2,3,0,0.2609,1
3,2,0,0.45,0
1,3,4,0.917,1
2,1,0,0.1136,0
0,0,0,0.0416,0
0,2,0,0.1797,0
1,5,2,0.5904,1
1,0,0,0.157,0
1,7,3,0.8513,1
1,1,1,0.55,0
2,2,0,0.1291,1
1,1,0,0.0203,0
1,0,0,0.364,0
0,1,1,0.4614,0
3,0,0,0.1521,0
6,0,1,0.45,1
0,0,0,0.0975,0
1,1,0,0.1196,0
0,6,2,0.5868,1
1,0,0,0.1394,0
1,5,1,0.446,1
2,3,2,0.558,1
3,2,0,0.2706,0
1,5,3,0.85,1
0,1,0,0.2168,1
2,0,0,0.2415,0
0,1,0,0.3536,0
0,8,2,0.8291,1
2,0,0,0.3121,0
2,1,0,0.0901,0
4,1,0,0.1982,0
0,5,5,0.8411,1
5,0,0,0.1789,0
2,3,3,0.8876,1
0,3,2,0.8457,1
1,0,0,0.05,0
0,3,1,0.4724,1
0,0,0,0.0165,0
1,0,0,0.1211,0
1,7,5,0.7178,1
3,3,2,0.5583,1
0,3,1,0.5322,0
2,4,3,0.7084,1
0,0,0,0.1458,1
0,0,0,0.117,0
2,2,2,0.5497,1
4,0,0,0.2774,0
2,0,0,0.3136,0
3,0,0,0.3743,0
4,3,0,0.5133,1
3,2,0,0.4824,1
4,0,1,0.3986,0
2,2,0,0.2329,0
1,0,1,0.3232,0
0,3,3,0.7858,1
1,2,3,0.7626,1
1,0,0,0.0438,0
0,1,1,0.55,0
1,0,0,0.1057,0
5,3,0,0.6529,1
0,2,2,0.9555,1
2,0,0,0.4605,0
4,1,0,0.159,0
0,4,4,0.8273,1
2,0,0,0.1111,0
1,5,0,0.5983,0
2,6,1,0.6019,1
2,2,0,0.1323,1
0,0,0,0.1492,0
3,0,0,0.3401,0
2,5,2,0.85,1
3,2,2,0.3322,0
0,2,2,0.271,0
2,3,0,0.2901,0
0,0,0,0.158,0
1,1,1,0.3643,0
0,2,2,0.6145,1
3,0,0,0.3239,0
2,1,0,0.1559,0
3,1,0,0.6803,1
0,0,0,0.0728,0
3,1,0,0.2342,0
1,4,0,0.3077,1
0,1,0,0.4927,0
1,0,0,0.0641,0
0,0,0,0.0628,0
1,1,2,0.6426,1
1,2,3,0.7545,1
0,0,0,0.0233,0
1,0,0,0.1603,0
0,0,0,0.0726,0
0,0,0,0.1553,0
3,1,0,0.1554,1
2,3,3,0.2522,1
0,3,1,0.7273,1
0,1,1,0.2164,1
1,7,1,0.5059,1
4,0,2,0.1897,0
1,3,3,0.8295,1
2,0,2,0.1969,0
0,0,0,0.0358,0
3,2,0,0.3329,1
2,1,0,0.05,0
1,6,0,0.4023,0
1,0,0,0.3709,0
0,0,0,0.25,0
0,0,0,0.2219,0
1,1,0,0.4083,0
0,0,0,0.0546,0
1,1,0,0.1442,0
1,1,0,0.3555,0
0,0,0,0.1688,0
1,0,1,0.25,0
3,1,0,0.3045,0
3,0,1,0.2188,0
0,0,0,0.0593,0
5,0,2,0.088,0
